,Subject,Clusters
0,Updated Gas Curves Validation,2
1,Kevin Burns,1
2,Hourly Trading Meeting i e Traders News ,0
3,OATI Demo,5
4,Traders News Meeting Chuck Miles,3
5,Day of the Trader Las Vegas,0
6,Updated Richard Heidorn Traders News Energy,2
7,Brownwood Dove Hunt,1
8,Fundamental Presentation,3
9,Fundamental Overview Presentation,3
10,East Power UBS Start Up Project Coordination Meeting,7
11,Playa Del Carmen Mex ,1
12,Dove Hunt in Mason TX,1
13,EES EWS EPMI Meeting Midwest Retail Load Physical Delivery,7
14,Shiner BockToberFest ,0
15,Mark Doggett Shower iOWA cOLO,1
16,nan,7
17,Doggett Bach Party Crystal Beach,1
18,Dove HUNT in Mason TX Joe Ebert,1
19,JD VACATION,4
20,Power Trading Systems Requirements,3
21,JD in LATE,4
22,JD Leave Early,4
23,Phone Screen Interview Charles E Hunter III,0
24,MW Off site El Lago Lake Conroe Fletch Dorland ,1
25,Midwest Southeast Desk Meeting w Fletch Sturm,0
26,Congestion in the transmission system for the,0
27,Mexico Hunting Trip,1
28,OATI Web Trader Demo,5
29,OATI,5
30,ECS Wkly EWS Staff Mtg coor by Rich DiMichele Crissy,3
31,Canceled Re scheduled WHS Retail Systems Integration Analysis ,5
32, CANCELLED ECS Commercialization Meeting SBeck BHall ,6
33,ECS Follow Up Mtg w BHall HShively SNeal MGrigsby ,3
34,N A The Alexis de Tocqueville Society Harry Macey Reasoner ,0
35,ECS Frank DeJesus Melissa Prihoda re session for,3
36,Updated ENW Employee Breakfast,2
37,Updated Sally Beck Steve Hotte Transition Discussion,2
38,ECS Updated ENW Employee Breakfast,3
39,ECS ENW Employee Breakfast,3
40,ECS ENW Employee Breakfast,3
41,The Houston Club Travis Room th flr Rusk Ctr for,1
42,ECN C ENW Employee Breakfast,3
43,SHARRON WILL CALL WHEN READY ECN th Boardroom Rick Causey,6
44,UT Net Impact Presentation Austin,1
45,EB Budget Mtg w L Kitchen G Piper F Killen M Pickering ,4
46, AC th Flr Fantastic Friday Weekend Interviewing Ted Bland,3
47,Andersen s nd Annual Energy Symposium Sabrina Whaley ,7
48,CANCELED FYI time tentative ECN M Dining North America,1
49,Canceled ECS Dave Hill Neil Davis H R Re Commercial,5
50,Canceled Causey to NYC w Lay Whalley EB th flr ,5
51,Canceled EB Project Greenlight w R Buy,5
52,ECN C EES Invoicing Issues Please review attachment Brenda,3
53,Canceled EB Michelle Bruce Doorstep Review Portland,5
54,EB ENW Budget Strategy w Whalley GPiper MPickering,4
55,EB Pre Qrtly Doorstep Mtg w Christy Lobush BApollo ,4
56,EB rd Qtr Doorstep Review w Rick Causey Rick Buy David,4
57,EB EES Banding Example,4
58,EB Update w Brent Price,4
59,EB C Associate Luncheon w SB GP MP Associates Boon Lua ,4
60,Updated EES Budget,2
61,EB min w Brad Richter Re Budget Loraine x ,4
62,to be discussed in Galveston EB Brent Price Update,3
63,Updated Post Petition Commercial Lead Meeting,2
64,EB Banding Example Mtg Mary Lynne Ruffer WColwell ,4
65,Cassandra Shultz Update RC x ,6
66,Canceled EB Andersen EAS Reporting w Mitchelle,5
67,Canceled Update w Beth Perlman Cheri x ,5
68,Kam Keiser per SB ,4
69,EES Mtg w JDietrich DLeff EHughes SStubbs,7
70,Canceled Irma s Southwest am conf w Jackie you drive ,5
71,Budget presentation w GPiper KRoper SBeck,1
72,Enron Direct USA Sales Verification Deal Capture Credit Customer,0
73,Enterprise Wide Risk Data Flow Re London Steve Stock,1
74,ECN C st Initial Mtg EGM Organizational Post Petition,3
75,OU Scholarships w Mike McConnell,1
76,Hyatt Regency Dogwood Rm rd Flr Qrtly Exec ,1
77,Internal Control Committee DLeff JDietrich WColwell VSharp ,0
78,EES Banding JLavorato WColwell BHerod BApollo by phone ,7
79,SB w Greg Piper Tammy Shepperd Re Tower ECS,6
80,Compensation Mtg w Rick Causey per Sharron x ,3
81,Tom Victorio Intro Mtg x ,3
82,Zakiyyah McClure x Shona Wilson s group Re NABA Group,3
83,Greg Piper Re Budget Floor Plan Headcount Names for Floor ,0
84,Tax In House Mtg w University Professors SBeck presentation ,3
85,Marla Barnard VP of HR Intro Sandy x ,6
86,Dave Delainey Greg Piper Janet Dietrich Re Outsourcing SB,1
87,Ryan Seleznov Update,1
88,SB w Rick Causey Beth Apollo Wes Colwell Wade Stubblefield Re ,6
89,Bill Bradford per SB x,6
90,SB w Greg Piper Tom Gros,6
91,SB w Greg Piper,6
92,EBS Trading Controls Roger Willard Arthur Andersen Wes,1
93,Officer Ticktockers Training,1
94,Data Room Louise Kitchen ,0
95,Mike McConnell Jeff Shankman Staff Mtg ,3
96,Shawn Kilchrist x Tom Bower Partner Curve Validation,0
97,DPR Mtg w R Causey W Colwell D Port G Hodges B Apollo,6
98,Jeff Kinneman Craig Chaney Re Orbian Credit Lola x ,0
99,Lunch w Shruti Gandi Gupta,1
100,P LWkly Mtg w Greg Piper rescheduled from ,3
101,SB N A Sneak Preview of Enron Kids Center rsvp yes cv,6
102,IT Isolation,1
103,APEX O G X mas Dinner Petroleum Club,1
104,EGM Org Post Petition Meeting ECN c ,3
105,Budget mtg Ken Lay mg Sharron x ,1
106,EES EWS Process mtg R Causey J Dietrich others mg Sharron,7
107,New Power video conf B Bradford M Tribolet D Port,1
108,CANCELLED Policy Review w Ted D Port Cassandra your ofc,6
109,Reschedule Conference call June GDT in SE Dial In,0
110,Interview John Ashburne VP Candidate for Bruce Garner,7
111,Rutherford Consulting Mark Kearns,3
112,Miami Loews Miami Beach Hotel,0
113,Metals Update Mtg Conf Call w London ,0
114,EGM Org Post Petition Meeting ECN c ,3
115,Metals Update Mtg EB a Conf Call w London ,0
116,Market Risk Training EB C Rita ,1
117,Pug Stuff meeting Neveen Andrews David Port mg Rita x ,1
118, Notified that you wld not be attending Weekly Risk Forum,3
119,Confirmed Germany Metals Recycling Integration update Conf ,7
120,CONFIRMED MG Integration Conf Call w London your ofc,3
121,PaineWebber Municipal Bond Overview Conference Call ,1
122,Stanford McKinsey Case Study Globe Initiative your ofc,6
123,Cancelled Germany Metals Recycling Integration update Conf ,0
124,FW FInancial Book Status,3
125,CANCELLED RAC Vision Offsite Meeting,6
126,Metals Update Mtg your ofc Conf Call w London ,0
127,FLIGHT FROM GATWICK Departs am CO Arrive IAH pm Avanti,1
128,Rob Walls Broker Dealer Issues in your office ,0
129,RESCHEDULED Rob Walls re Broker Dealer Issues,1
130,Updated Post Petition Commercial Lead Meeting,2
131,Securities Litigation Bob Williams Stan Horton Rick Causey ,7
132,S P ECN c ,3
133,Special Telephonic Mariner Board Meeting mg Deborah x ,1
134,Frevert Meeting Attendees Bradford Port Gorte Murphy,6
135,Private Equity Trading Euford Cooper w Xcelerator mg ,3
136,Updated CAISO to explain why COI S N is so low,2
137,Action Required Attend West Power Staff Meeting,1
138,Westwide mitigation Oct Workshop,1
139,PGE Dinner McCormicks,3
140,Fishing,0
141,Meet and Confer with the Government Affairs Western Wholesale,1
142,FW ECS Update on February th Trading Simulation,3
143,Updated Demo of the new ERMS PC ,2
144,Complete the requirements gathering for CGS,3
145,Updated LGS Booking meeting,2
146,Consolidated Gas System,3
147,Updated Warning Window for the Tagg Deal Entry,2
148,Information for Banks,3
149,Determination of Termination Payment Mythology Mtg,0
150,Updated Weapon X overview,2
151,Updated Meeting about Unix machines,2
152,All Employee Meeting,3
153,Updated RisktRAC Managing Books and Portfolios,2
154,Updated VaR Mapping Discussion,2
155,Updated Gas Daily Settlement Prices,2
156,Books and Portfolio,1
157,FW Meet with Ana Hernandez Scott Palmer and Karen Gruesen to,3
158,Updated Dominion Mtg,2
159,Trade Track,7
160,VaR Meeting,6
161,Kam Keiser per SB ,4
162,FW Boston Gas Deal,3
163,Reminder of VNG Meeting,1
164,Asset Management ComGas,1
165,Risk Trac Source System Integration,3
166,East VaR estimates due,7
167,Expectations Meeting with Jeffrey Gossett,3
168,VAR Presentation,7
169,Bid Week Procedure Meeting,3
170,KCS Insurance Wrap Meeting,3
171,Storage Valuation Meeting,1
172,In person interview EB Out of town candidate Ken Williams ,0
173,In person interview Eliot A Levin Req Risk,0
174,Meeting to discuss what estate data needs to remain in Netco ie,0
175,Status meeting ERMT database migration to Oracle i,1
176,Holiday Party Focus Group,7
177,Confirmed Transport MTM EB June AM CDT ,7
178,Monthly OA meeting C ,1
179,Risk Management Staff Meeting EB ,3
180,Information request from E Y,3
181,FW Integration Test Team Meeting,3
182,Development Stage of CGS,1
183,Cross Timbers BTU Swap,0
184,Consolidated Gas System Reporting,3
185,India meeting with lunch EB ,7
186,Canceled Top Meeting with Ken Lay David Oxley Steve Kean ,5
187,Dinner Regency Room nd Floor,0
188,Alexis de Tocqueville Breakfast The Center W Dallas ,1
189,Fortune Editor s Invit cover shoot,1
190,Harvard interview with Christie Patrick EB ,0
191,To New York,7
192,Olympic Committee reception at George Demontrond s home Pine,6
193,Revised Randy Hardy,4
194,Updated Want a Workable Market for Coordinated Transmission ,2
195,Updated Logistics Overview Reminder Location Change,2
196,Fundamentals,3
197,Updated Livelink Discussion,2
198,Mtg w Lisa Kinsey,5
199,Mtg w Savita Puthigai Re Pricing Formula,5
200,Updated Dun Bradstreet Data,2
201,Meeting w Heath Schiesser re Xcelerator ,0
202,Updated EWS Off site Team Video Meeting PM,2
203,PRC MEETING,1
204,Trading Track Presentation in EB C ,3
205,Central Region Customer Priority Ranking,1
206,Future of Commodity Fundamentals Meeting,1
207, Meeting per Hunter Shively,0
208,Updated UBS Pipeline Set up Rescheduled,2
209,Contract Review,1
210,Canceled Nymex Specialist Meeting,5
211,Updated ECS Follow Up Mtg w BHall HShively SNeal ,2
212,Mtg regarding Index Postings,5
213,Gas Daily Swaps Electronic Index Postings,1
214,HBS Alumni Dinner w Rebecca Cocktails Dinner ,1
215,New Associate End of Orientation Dinner,1
216,JS Vacation,7
217,Arrive London Gatwick at AM,7
218,Mtg How to Manage VolitilityW Brad Romine Dan Reck Matt Arnold,5
219,U of Penn Undergrad Presentation Houston Hall Ben Franklin Room,3
220,Wharton Presentation Ritten House Presenter Paul Lebeau ,1
221,Mtg George McClellan Mike Byer Mike RE Vulcan George ,5
222,Executive Committee PRC MDs and VPs and the Mid year MD PRC St ,1
223,HR Presentation EGM Overview EB C Tom Wilbeck ,5
224,JS Louisville,7
225,HTC Board Meeting,3
226,JS Louisville,7
227, AM Final VP PRC at the St Regis Hotel Jackie Martin ,6
228,Conf Call Joe H Alan A CP ,0
229,Interview Jeff Huff VP candidate for Freight Markets with Mike,7
230,nan,7
231,Management Committee Mtg offsite dinner at the Woodlands PM,3
232,Mtg Boardroom w Lay Skilling,5
233,Action Required Attend West Power Staff Meeting,1
234,Revised Randy Hardy,4
235,FW Mtg to discuss assignment of customers Transmission list ,3
236,Uninstructed Deviations Proposal of CAISO,3
237,Updated Upcoming changes at the CAISO penalties for uninstructed,2
238,Mt Bachelor Ski Trip Planning Meeting KA,5
239,Canceled RESCHEDULED Mt Bachelor Ski Trip Planning Meeting,5
240,Action Required Attend West Power Staff Meeting,1
241,New Target Price Mechanism,1
242,Updated Want a Workable Market for Coordinated Transmission ,2
243,Canceled EPC contractor risk review,5
